Month,Day,Year,Hour,Minute,Time,Sun House,Moon House,Mercury House,Venus House,Mars House,Jupiter House,Saturn House,Uranus House,Neptune House
2,8,1867,6,59,419,1,2,12,11,5,12,9,5,5
2,8,1867,8,6,486,12,1,12,10,5,12,9,4,4
2,8,1867,19,26,1166,6,8,6,4,11,6,3,11,11
2,8,1867,17,5,1025,7,9,7,6,12,7,4,12,12
2,8,1867,17,49,1069,7,8,7,5,12,7,4,11,11
2,8,1867,15,12,912,8,10,8,6,1,8,5,1,1
2,28,1867,11,1,661,10,8,11,9,2,10,7,2,2
2,28,1867,7,4,424,12,10,1,11,4,12,9,4,4
2,28,1867,2,26,146,3,12,3,1,7,2,11,7,7
2,28,1867,17,3,1023,7,5,8,6,11,7,4,11,11
2,28,1867,11,52,712,10,7,10,8,2,9,6,2,2
2,28,1867,5,48,348,1,11,1,12,5,12,9,5,5
2,28,1867,4,22,262,2,11,2,12,6,1,10,6,6
2,28,1867,22,2,1322,5,3,5,3,9,4,1,9,9
2,28,1867,6,33,393,1,10,1,11,5,12,9,4,4
2,28,1867,9,27,567,11,9,12,10,3,11,7,3,3
2,28,1867,3,37,217,2,12,2,1,6,2,10,6,6
2,28,1867,23,30,1410,4,2,5,3,8,4,1,8,8
3,8,1867,12,30,750,10,10,10,8,1,9,6,1,1
3,8,1867,15,58,958,8,9,8,6,12,7,4,11,11
3,8,1867,8,12,492,12,12,12,10,4,11,8,3,3
3,8,1867,5,31,331,1,2,2,12,5,12,9,5,5
3,8,1867,20,30,1230,6,7,6,4,9,5,2,9,9
3,8,1867,4,4,244,2,2,2,12,6,1,10,6,6
3,8,1867,5,38,338,1,2,2,12,5,12,9,5,5
3,8,1867,10,40,640,11,11,11,9,2,10,6,2,2
3,8,1867,17,20,1040,7,8,8,6,11,6,3,11,11
3,8,1867,14,41,881,9,9,9,7,12,8,5,12,12
3,8,1867,12,28,748,10,10,10,8,1,9,6,1,1
3,8,1867,11,35,695,10,11,11,9,2,9,6,1,1
11,7,1867,23,12,1392,4,8,5,4,4,8,4,12,12
11,7,1867,12,44,764,9,1,10,10,10,1,10,5,5
11,7,1867,19,53,1193,6,10,6,6,6,9,6,2,2
11,7,1867,20,52,1252,5,9,6,5,6,9,5,1,1
11,7,1867,5,19,319,1,5,2,1,2,5,1,9,9
11,7,1867,0,25,25,3,7,4,4,4,7,4,11,11
11,7,1867,9,28,568,11,3,12,11,12,3,11,7,7
11,7,1867,7,40,460,12,4,1,12,12,3,12,8,8
11,7,1867,16,35,995,7,12,8,8,8,11,8,3,3
11,7,1867,14,0,840,9,1,9,9,9,12,9,5,5
11,7,1867,4,57,297,1,5,2,2,2,5,2,9,9
11,7,1867,17,56,1076,7,11,7,7,7,10,7,3,3
1,30,1867,22,59,1379,4,2,4,3,9,4,2,9,9
1,30,1867,19,18,1158,6,4,6,5,11,6,3,11,11
1,30,1867,16,10,970,8,6,7,6,1,8,5,12,12
1,30,1867,3,12,192,2,12,2,1,7,2,12,7,7
1,30,1867,4,45,285,2,11,1,12,7,2,11,6,6
1,30,1867,21,54,1314,5,3,5,3,10,5,2,10,10
1,30,1867,19,21,1161,6,4,6,5,11,6,3,11,11
1,30,1867,12,37,757,10,7,9,8,3,10,7,2,2
1,30,1867,3,49,229,2,12,2,1,7,2,11,7,7
1,30,1867,10,26,626,11,8,10,9,4,11,8,3,3
1,30,1867,18,12,1092,7,5,6,5,12,7,4,11,11
1,30,1867,12,56,776,9,7,9,8,2,10,7,2,2
6,9,1867,15,41,941,8,11,8,7,10,5,1,9,9
6,9,1867,5,50,350,1,4,1,12,3,10,6,1,1
6,9,1867,17,37,1057,7,10,7,6,9,4,12,8,8
6,9,1867,4,23,263,1,5,2,12,4,10,6,2,2
6,9,1867,10,2,602,11,2,11,10,1,7,4,11,11
6,9,1867,15,39,939,8,11,8,7,10,5,1,9,9
6,9,1867,0,49,49,3,6,4,2,6,12,8,4,4
6,9,1867,6,58,418,12,3,12,11,3,9,5,1,1
6,9,1867,16,31,991,8,11,8,7,10,4,1,8,8
6,9,1867,15,55,955,8,11,8,7,10,4,1,9,9
6,9,1867,23,57,1437,4,7,4,3,6,1,9,5,5
6,9,1867,16,30,990,8,11,8,7,10,4,1,8,8
3,24,1867,18,42,1122,6,2,7,5,10,5,2,10,10
3,24,1867,5,11,311,1,9,1,12,5,12,9,4,4
3,24,1867,14,48,888,8,4,9,7,12,7,4,11,11
3,24,1867,8,26,506,12,7,12,10,3,10,7,3,3
3,24,1867,6,23,383,1,8,1,11,4,12,8,4,4
3,24,1867,15,35,935,8,4,8,7,11,7,4,11,11
3,24,1867,9,40,580,11,6,11,10,2,10,6,2,2
3,24,1867,9,44,584,11,6,11,10,2,10,6,2,2
3,24,1867,4,52,292,1,9,2,12,5,12,9,5,5
3,24,1867,7,8,428,12,8,12,11,4,11,8,3,3
3,24,1867,3,49,229,2,9,2,1,6,1,10,5,5
3,24,1867,12,24,744,10,5,10,8,1,8,5,12,12
1,30,1867,2,1,121,3,1,3,1,8,3,12,8,8
1,30,1867,4,16,256,2,12,2,12,7,2,11,7,7
1,30,1867,10,41,641,11,8,10,9,4,11,8,3,3
1,30,1867,11,9,669,10,8,10,9,3,10,7,3,3
1,30,1867,9,47,587,11,9,11,9,4,11,8,4,4
1,30,1867,6,20,380,1,10,1,11,6,1,10,6,6
1,30,1867,21,5,1265,5,3,5,4,10,5,3,10,10
1,30,1867,12,1,721,10,8,10,8,3,10,7,3,3
1,30,1867,4,1,241,2,12,2,12,7,2,11,7,7
1,30,1867,15,1,901,8,6,8,7,1,8,6,1,1
1,30,1867,10,34,634,11,8,10,9,4,11,8,3,3
1,30,1867,23,58,1438,4,2,4,2,9,4,1,9,9
1,15,1867,10,20,620,11,2,10,9,5,11,8,4,4
1,15,1867,10,27,627,11,2,10,9,4,11,8,4,4
1,15,1867,6,46,406,1,4,12,11,6,1,10,6,6
1,15,1867,23,51,1431,4,8,3,3,10,4,2,9,9
1,15,1867,10,56,656,10,2,10,9,4,11,8,4,4
1,15,1867,19,10,1150,6,10,6,5,12,7,4,11,11
1,15,1867,11,14,674,10,2,10,9,4,11,8,4,4
1,15,1867,11,38,698,10,1,9,9,4,11,8,3,3
1,15,1867,23,20,1400,4,8,4,3,10,5,2,9,9
1,15,1867,3,1,181,2,6,2,1,8,3,12,8,8
1,15,1867,12,47,767,9,1,9,8,3,10,7,3,3
1,15,1867,17,10,1030,7,11,6,6,1,8,5,12,12
5,6,1867,1,47,107,3,4,2,2,6,1,9,5,5
5,6,1867,0,45,45,3,4,3,2,6,1,10,5,5
5,6,1867,9,49,589,11,12,10,10,2,9,5,12,12
5,6,1867,3,41,221,2,3,1,1,5,12,8,4,4
5,6,1867,16,45,1005,7,8,7,6,10,5,2,9,9
5,6,1867,10,14,614,11,11,10,9,1,8,5,12,12
5,6,1867,9,26,566,11,12,10,10,2,9,5,1,1
5,6,1867,19,35,1175,6,7,5,5,9,4,12,8,8
5,6,1867,15,26,926,8,9,7,7,11,6,2,10,10
5,6,1867,11,45,705,10,11,9,9,1,8,4,12,12
5,6,1867,17,50,1070,7,8,6,6,10,5,1,9,9
5,6,1867,0,40,40,3,4,3,2,6,1,10,5,5
6,15,1867,22,36,1356,5,10,5,4,7,1,9,5,5
6,15,1867,13,56,836,9,2,9,8,11,5,2,9,9
6,15,1867,10,23,623,11,4,11,10,1,7,3,11,11
6,15,1867,4,59,299,1,6,2,12,3,10,6,2,2
6,15,1867,13,55,835,9,2,9,8,11,5,2,9,9
6,15,1867,16,17,977,8,1,8,7,10,4,1,8,8
6,15,1867,22,58,1378,4,10,5,3,7,1,9,5,5
6,15,1867,5,39,339,1,6,1,12,3,9,6,1,1
6,15,1867,22,36,1356,5,10,5,4,7,1,9,5,5
6,15,1867,15,3,903,8,2,9,7,10,5,1,9,9
6,15,1867,22,50,1370,4,10,5,3,7,1,9,5,5
6,15,1867,0,17,17,4,9,4,3,6,12,8,4,4
6,2,1867,12,58,778,9,9,9,8,12,6,3,10,10
6,2,1867,17,17,1037,7,7,7,6,9,4,12,8,8
6,2,1867,21,6,1266,5,5,5,4,8,2,10,6,6
